"Ser No / Item ID","Sec Cat/Part No / Part No / Category Code","Barcode / Barcode / QR Code","Nomenclature / Equipment Name","Category","Sub-Category","UOM / Unit of Measure (UOM)","Auth Qty / Authorized Qty","System Qty","Physical Qty","Serviceable","Unserviceable","Condition","Status","Repairable","Issued To","Issued By","Location / Store Room","Min Stock Level","Date of Entry / Last Updated","Date of Exit","Time Entry","Remarks"
"SER-1036","SKU-ME-1036","","Bio-Rad T100 Model 135 v1","Medical & Lab","Centrifuges","Kit","15","15","15","15","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 36 barcode auto-assigned on import"
"SER-1037","SKU-CO-1037","","Lenovo ThinkPad Model 136 v2","Computing","Laptops","Unit","16","16","16","16","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 37 barcode auto-assigned on import"
"SER-1038","SKU-PE-1038","","CalDigit TS4 Model 137 v3","Peripherals","USB Hubs","Set","17","17","17","17","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 38 barcode auto-assigned on import"
"SER-1039","SKU-NE-1039","","Aruba Instant On Model 138 v4","Networking","Routers","Pack","18","18","18","18","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 39 barcode auto-assigned on import"
"SER-1040","SKU-OF-1040","","Fujitsu ScanSnap Model 139 v5","Office Tech","Shredders","Piece","19","19","19","19","0","Operational","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 40 barcode auto-assigned on import"
"SER-1041","SKU-SE-1041","","Hikvision 4K Dome Model 140 v1","Security & Access","Biometric Readers","Box","20","20","20","20","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 41 barcode auto-assigned on import"
"SER-1042","SKU-FI-1042","","TSC Alpha-3R Model 141 v2","Field Ops","Handheld GPS","Kit","21","21","21","21","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 42 barcode auto-assigned on import"
"SER-1043","SKU-AU-1043","","Shure Stem Mic Model 142 v3","Audio Visual","Interactive Displays","Unit","22","22","22","22","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 43 barcode auto-assigned on import"
"SER-1044","SKU-PO-1044","","Eaton 9PX UPS Model 143 v4","Power & Energy","Voltage Stabilizers","Set","23","23","23","23","0","Operational","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 44 barcode auto-assigned on import"
"SER-1045","SKU-IN-1045","","Yokogawa Flowmeter Model 144 v5","Industrial Auto","Servo Drives","Pack","24","24","24","24","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 45 barcode auto-assigned on import"
"SER-1046","SKU-FA-1046","","Quest Dual 155 Model 145 v1","Facility & Climate","Air Purifiers","Piece","25","25","25","25","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 46 barcode auto-assigned on import"
"SER-1047","SKU-RO-1047","","Universal Robots UR5e Model 146 v2","Robotics & Drones","LIDAR Sensors","Box","26","26","26","26","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 47 barcode auto-assigned on import"
"SER-1048","SKU-ME-1048","","Hach DR3900 Model 147 v3","Medical & Lab","Digital Microscopes","Kit","27","27","27","27","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 48 barcode auto-assigned on import"
"SER-1049","SKU-CO-1049","","Dell Precision Model 148 v4","Computing","Laptops","Unit","28","28","28","28","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 49 barcode auto-assigned on import"
"SER-1050","SKU-PE-1050","","Anker PowerExpand Model 149 v5","Peripherals","USB Hubs","Set","29","29","29","29","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 50 barcode auto-assigned on import"
"SER-1051","SKU-NE-1051","","Cisco Catalyst 9300 Model 150 v1","Networking","Routers","Pack","5","5","5","5","0","Inspected - Good","Low Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 51 barcode auto-assigned on import"
"SER-1052","SKU-OF-1052","","Creality Ender 3 Model 151 v2","Office Tech","Laminators","Piece","6","6","6","6","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 52 barcode auto-assigned on import"
"SER-1053","SKU-SE-1053","","Bosch Motion Detector Model 152 v3","Security & Access","CCTV Cameras","Box","7","7","7","7","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 53 barcode auto-assigned on import"
"SER-1054","SKU-FI-1054","","Getac F110 Model 153 v4","Field Ops","Body Cams","Kit","8","8","8","8","0","Brand New","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 54 barcode auto-assigned on import"
"SER-1055","SKU-AU-1055","","Aver Cam520 Pro Model 154 v5","Audio Visual","Conference Mics","Unit","9","9","9","9","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 55 barcode auto-assigned on import"
"SER-1056","SKU-PO-1056","","Enphase IQ8 Model 155 v1","Power & Energy","UPS Systems","Set","10","10","10","10","0","Operational","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 56 barcode auto-assigned on import"
"SER-1057","SKU-IN-1057","","Schneider Modicon Model 156 v2","Industrial Auto","Sensors","Pack","11","11","11","11","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 57 barcode auto-assigned on import"
"SER-1058","SKU-FA-1058","","Honeywell Air Sensor Model 157 v3","Facility & Climate","Env Sensors","Piece","12","12","12","12","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 58 barcode auto-assigned on import"
"SER-1059","SKU-RO-1059","","Skydio X2 Enterprise Model 158 v4","Robotics & Drones","Flight Controllers","Box","13","13","13","13","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 59 barcode auto-assigned on import"
"SER-1060","SKU-ME-1060","","Olympus CX23 Model 159 v5","Medical & Lab","Autoclaves","Kit","14","14","14","14","0","Operational","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 60 barcode auto-assigned on import"
"SER-1061","SKU-CO-1061","","Dell Latitude Model 160 v1","Computing","Laptops","Unit","15","15","15","15","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 61 barcode auto-assigned on import"
"SER-1062","SKU-PE-1062","","Razer DeathAdder Model 161 v2","Peripherals","USB Hubs","Set","16","16","16","16","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 62 barcode auto-assigned on import"
"SER-1063","SKU-NE-1063","","TP-Link Omada Model 162 v3","Networking","Routers","Pack","17","17","17","17","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 63 barcode auto-assigned on import"
"SER-1064","SKU-OF-1064","","Epson WorkForce Pro Model 163 v4","Office Tech","3D Printers","Piece","18","18","18","18","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 64 barcode auto-assigned on import"
"SER-1065","SKU-SE-1065","","Axis Camera Model 164 v5","Security & Access","Access Control","Box","19","19","19","19","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 65 barcode auto-assigned on import"
"SER-1066","SKU-FI-1066","","Axon Body 3 Model 165 v1","Field Ops","Rugged Tablets","Kit","20","20","20","20","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 66 barcode auto-assigned on import"
"SER-1067","SKU-AU-1067","","Samsung Flip Pro Model 166 v2","Audio Visual","Soundbars","Unit","21","21","21","21","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 67 barcode auto-assigned on import"
"SER-1068","SKU-PO-1068","","Blue Sky Solar Model 167 v3","Power & Energy","Power Distribution","Set","22","22","22","22","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 68 barcode auto-assigned on import"
"SER-1069","SKU-IN-1069","","Keyence Sensor Model 168 v4","Industrial Auto","Flow Meters","Pack","23","23","23","23","0","Good condition","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 69 barcode auto-assigned on import"
"SER-1070","SKU-FA-1070","","Ecobee Smart Thermostat Model 169 v5","Facility & Climate","Dehumidifiers","Piece","24","24","24","24","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 70 barcode auto-assigned on import"
"SER-1071","SKU-RO-1071","","DJI Matrice 300 RTK Model 170 v1","Robotics & Drones","Inspection Drones","Box","25","25","25","25","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 71 barcode auto-assigned on import"
"SER-1072","SKU-ME-1072","","Mettler Toledo Balance Model 171 v2","Medical & Lab","Spectrophotometers","Kit","26","26","26","26","0","Operational","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 72 barcode auto-assigned on import"
"SER-1073","SKU-CO-1073","","Asus ExpertBook Model 172 v3","Computing","Laptops","Unit","27","27","27","27","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 73 barcode auto-assigned on import"
"SER-1074","SKU-PE-1074","","Logitech MX Master Model 173 v4","Peripherals","USB Hubs","Set","28","28","28","28","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 74 barcode auto-assigned on import"
"SER-1075","SKU-NE-1075","","FS.com 10G SFP+ Model 174 v5","Networking","Routers","Pack","29","29","29","29","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 75 barcode auto-assigned on import"
"SER-1076","SKU-OF-1076","","Fellowes Powershred Model 175 v1","Office Tech","Printers","Piece","5","5","5","5","0","Operational","Low Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 76 barcode auto-assigned on import"
"SER-1077","SKU-SE-1077","","ZKTeco Biometric Model 176 v2","Security & Access","Smart Locks","Box","6","6","6","6","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 77 barcode auto-assigned on import"
"SER-1078","SKU-FI-1078","","CipherLab RS35 Model 177 v3","Field Ops","Barcode Scanners","Kit","7","7","7","7","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 78 barcode auto-assigned on import"
"SER-1079","SKU-AU-1079","","Sony SRG-X400 Model 178 v4","Audio Visual","PTZ Cameras","Unit","8","8","8","8","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 79 barcode auto-assigned on import"
"SER-1080","SKU-PO-1080","","CyberPower OR2200LCD Model 179 v5","Power & Energy","Solar Inverters","Set","9","9","9","9","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 80 barcode auto-assigned on import"
"SER-1081","SKU-IN-1081","","Siemens S7-1200 Model 180 v1","Industrial Auto","PLC Controllers","Pack","10","10","10","10","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 81 barcode auto-assigned on import"
"SER-1082","SKU-FA-1082","","Sensaphone Remote Model 181 v2","Facility & Climate","Smart Thermostats","Piece","11","11","11","11","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 82 barcode auto-assigned on import"
"SER-1083","SKU-RO-1083","","Livox Mid-70 Model 182 v3","Robotics & Drones","Robotic Arms","Box","12","12","12","12","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 83 barcode auto-assigned on import"
"SER-1084","SKU-ME-1084","","Thermo Scientific Pico 17 Model 183 v4","Medical & Lab","Thermal Cyclers","Kit","13","13","13","13","0","Operational","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 84 barcode auto-assigned on import"
"SER-1085","SKU-CO-1085","","Apple iMac Model 184 v5","Computing","Laptops","Unit","14","14","14","14","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 85 barcode auto-assigned on import"
"SER-1086","SKU-PE-1086","","Dell Thunderbolt Dock Model 185 v1","Peripherals","USB Hubs","Set","15","15","15","15","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 86 barcode auto-assigned on import"
"SER-1087","SKU-NE-1087","","Fortinet FortiGate 60F Model 186 v2","Networking","Routers","Pack","16","16","16","16","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 87 barcode auto-assigned on import"
"SER-1088","SKU-OF-1088","","Zebra ZD421 Model 187 v3","Office Tech","Scanners","Piece","17","17","17","17","0","Operational","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 88 barcode auto-assigned on import"
"SER-1089","SKU-SE-1089","","Yale Smart Lock Pro Model 188 v4","Security & Access","Intrusion Detectors","Box","18","18","18","18","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 89 barcode auto-assigned on import"
"SER-1090","SKU-FI-1090","","Honeywell Voyager Model 189 v5","Field Ops","Thermal Printers","Kit","19","19","19","19","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 90 barcode auto-assigned on import"
"SER-1091","SKU-AU-1091","","Epson Pro EX10000 Model 190 v1","Audio Visual","Projectors","Unit","20","20","20","20","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 91 barcode auto-assigned on import"
"SER-1092","SKU-PO-1092","","Raritan PX3 Model 191 v2","Power & Energy","Battery Packs","Set","21","21","21","21","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 92 barcode auto-assigned on import"
"SER-1093","SKU-IN-1093","","Mitsubishi MELSEC Model 192 v3","Industrial Auto","HMI Panels","Pack","22","22","22","22","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 93 barcode auto-assigned on import"
"SER-1094","SKU-FA-1094","","Levoit Core 600S Model 193 v4","Facility & Climate","Access Floors","Piece","23","23","23","23","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 94 barcode auto-assigned on import"
"SER-1095","SKU-RO-1095","","MiR250 AGV Model 194 v5","Robotics & Drones","AGV Carts","Box","24","24","24","24","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 95 barcode auto-assigned on import"
"SER-1096","SKU-ME-1096","","Bio-Rad T100 Model 195 v1","Medical & Lab","Centrifuges","Kit","25","25","25","25","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 96 barcode auto-assigned on import"
"SER-1097","SKU-CO-1097","","Lenovo ThinkPad Model 196 v2","Computing","Laptops","Unit","26","26","26","26","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 97 barcode auto-assigned on import"
